"FYPRDFY_ID","INS_ID","COMP_ID","LUC_ID","FUND_SRC_CD","LUC_RESTRICT_CD","LUC_SEQ_NBR","LUC_RESTRICT_TX","CREATED_CDT","LAST_UPDTD_CDT","COMP_INS_ID"
"2015","AK017002432300","1700","N60462_000101","BRAC","10","961","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000102","BRAC","10","962","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000201","BRAC","98","963","Prohibits access, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000202","BRAC","98","964","Prohibits access, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000301","BRAC","04","965","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000301","BRAC","10","966","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000302","BRAC","04","967","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000302","BRAC","10","968","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000401","BRAC","04","969","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000401","BRAC","10","970","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000402","BRAC","04","971","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000402","BRAC","10","972","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000501","BRAC","04","973","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000501","BRAC","10","974","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000502","BRAC","04","1049","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000502","BRAC","10","1014","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000601","BRAC","04","1015","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000601","BRAC","10","1016","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000602","BRAC","04","1017","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000602","BRAC","10","1018","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000701","BRAC","04","1019","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000701","BRAC","10","1020","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000702","BRAC","04","1021","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000702","BRAC","10","1022","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000801","BRAC","04","1023","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000801","BRAC","10","1024","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000802","BRAC","04","1025","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000802","BRAC","10","1026","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000901","BRAC","04","1027","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000901","BRAC","10","1028","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000902","BRAC","04","1029","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_000902","BRAC","10","1030","Prohibits disturbance of surface or subsurface soil due to invasive activities such as construction, unless prior written approval of the Navy and lead regulatory agency is obtained.","12/10/2015 17:02:02","","N60462"
"2015","AK017002432300","1700","N60462_001001","BRAC","04","1031","Groundwater use restricted.","12/10/2015 17:02:02","","N60462"
